State,Action 0 (Stand),Action 1 (Hit),Best Action
[12  6  1],-0.1455707825142031,0.0232728066731805,Hit
[12  7  1],-0.3275141620792883,0.002694892439442609,Hit
[12  8  1],-0.38722706455104194,-0.02620048912637414,Hit
[12  9  1],-0.38456720203032757,-0.005580017372843052,Hit
[12 10  1],-0.4756604221841937,-0.030461092181121224,Hit
[12 11  1],-0.37763191683591757,0.0073090385913316906,Hit
[13  2  1],-0.15369295523265872,-0.0035548871766329787,Hit
[13  3  1],-0.38929901298651837,-0.03065229258011471,Hit
[13  4  1],-0.26820495103229414,-0.025331622118568632,Hit
[13  5  1],-0.05739212384282774,0.032566869542788826,Hit
[13  6  1],-0.1348708964852221,-0.033839898849293455,Hit
[13  7  1],-0.4384245809573225,0.0013513468884654087,Hit
[13  8  1],-0.3538644326334743,0.020622509113413522,Hit
[13  9  1],-0.46183151557788304,-0.015726849261321948,Hit
[13 10  1],-0.5342497476019711,-0.05226915671993273,Hit
[13 11  1],-0.5667894211006343,0.019242172546640082,Hit
[14  2  1],-0.2416376138529987,0.016261083169465552,Hit
[14  3  1],-0.2470684910264098,-0.01431511762147876,Hit
[14  4  1],-0.2095554133423331,0.02215983180875817,Hit
[14  5  1],-0.11946358300786006,-0.01942982780179775,Hit
[14  6  1],-0.051294831611461464,-0.027730803448286483,Hit
[14  7  1],-0.46586818319848966,-0.023059792888070044,Hit
[14  8  1],-0.4571943152063257,0.0037235185643714683,Hit
[14  9  1],-0.4576862868025424,0.004347719187259298,Hit
[14 10  1],-0.5118671502287067,-0.05574861031029422,Hit
[14 11  1],-0.4511288075512473,-0.015894383883199647,Hit
[15  2  1],-0.29221901560305674,-0.045587984746516985,Hit
[15  3  1],-0.15882102389663283,0.030693945861643198,Hit
[15  4  1],-0.2181286235237005,0.008358441388303706,Hit
[15  5  1],-0.12337740371601327,0.003605881509884091,Hit
[15  6  1],-0.17414923943394445,-0.016809921089306106,Hit
[15  7  1],-0.4324494113451193,-0.014494991456965905,Hit
[15  8  1],-0.4393536545528973,-0.04417331489630277,Hit
[15  9  1],-0.49611541679268845,-0.03667913285346873,Hit
[15 10  1],-0.5270090268820962,-0.2031360437052997,Hit
[15 11  1],-0.5646076240260707,-0.016455913805509786,Hit
[16  2  1],-0.2513597059359949,-0.04309977454038344,Hit
[16  3  1],-0.2049569099355018,-0.047668550656192035,Hit
[16  4  1],-0.18370555151478488,-0.009664743627031392,Hit
[16  5  1],-0.10945902172396789,0.012009571151394696,Hit
[16  6  1],-0.07335208722434208,-0.0026795080434617972,Hit
[16  7  1],-0.40412514299832153,0.004305832140703361,Hit
[16  8  1],-0.48513482112924156,-0.0203832541043211,Hit
[16  9  1],-0.4793827998668978,-0.053671027665531085,Hit
[16 10  1],-0.5322512065718297,-0.2650678996798009,Hit
[16 11  1],-0.5663791358762198,-0.05792268284320368,Hit
[17  2  1],-0.11468723768100383,0.007120999808709808,Hit
[17  3  1],-0.10135790607042884,-0.030651482423252628,Hit
[17  4  1],-0.04131606430317902,0.017490678776821665,Hit
[17  5  1],-0.019485413694096433,0.009971118667810901,Hit
[17  6  1],0.07231265585918989,0.010348352017721472,Stand
[17  7  1],-0.0678625233470825,-0.023180973719460443,Hit
[17  8  1],-0.37228067763506884,-0.024199624221069433,Hit
[17  9  1],-0.4086177221435522,-0.03201653388013863,Hit
[17 10  1],-0.4398949378753372,-0.1941583094918966,Hit
[17 11  1],-0.3831756734675118,-0.015236932040611004,Hit
[18  2  1],0.11392793378448315,0.0008106591607699449,Stand
[18  3  1],0.1362468347394907,0.03240602441705254,Stand
[18  4  1],0.10973663225042575,0.1095373778126575,Stand
[18  5  1],0.16946925651904018,-0.009553950486035072,Stand
[18  6  1],0.24344693752687568,0.02590412861264285,Stand
[18  7  1],0.38555827981865276,0.038490153073596406,Stand
[18  8  1],0.11088789857982104,0.022832988606267337,Stand
[18  9  1],-0.14882846646765763,-0.02252693832356554,Hit
[18 10  1],-0.15718134110221682,-0.11594501179894864,Hit
[18 11  1],-0.09811701078543715,-0.039031682105334455,Hit
[19  2  1],0.31713687465487816,0.022327829422542626,Stand
[19  3  1],0.3980072930718699,-0.005921652218974307,Stand
[19  4  1],0.3755705212552376,0.05095781760884161,Stand
[19  5  1],0.42600744158519416,0.060914319839633406,Stand
[19  6  1],0.43093591466024395,0.038896942968798774,Stand
[19  7  1],0.5356490772377985,0.1095817498245176,Stand
[19  8  1],0.5372118873566745,0.0341128215870052,Stand
[19  9  1],0.2751628695045896,0.0062587964351748515,Stand
[19 10  1],0.056396756476025364,-0.013842898179680723,Stand
[19 11  1],0.20253989951416304,-0.0007528147127211913,Stand
[20  2  1],0.6134736818210531,0.09106792571482561,Stand
[20  3  1],0.6309933782476035,0.0044488724320636275,Stand
[20  4  1],0.691401827070381,0.06827948657086388,Stand
[20  5  1],0.6517133423238689,-0.0249406605151463,Stand
[20  6  1],0.6852126132898642,-0.030476183461940733,Stand
[20  7  1],0.7465759781929251,0.09396259791259381,Stand
[20  8  1],0.7704709095524235,-0.06636871672310354,Stand
[20  9  1],0.77780781838105,-0.008798327097318518,Stand
[20 10  1],0.547855756857214,-0.07167543689968592,Stand
[20 11  1],0.6076728783636124,-0.011965500650653748,Stand
[21  2  1],0.7160849436894889,0.007868298008327617,Stand
[21  3  1],0.7179565833249602,-0.03668216833949276,Stand
[21  4  1],0.7501523000735355,-0.07395002796389655,Stand
[21  5  1],0.7144184100411359,-0.07706242058535162,Stand
[21  6  1],0.7155028906688433,-0.052701601758119825,Stand
[21  7  1],0.7357267747466276,-0.006344446348985264,Stand
[21  8  1],0.7940126626477241,-0.054127409866826154,Stand
[21  9  1],0.7839494205205193,-0.053762460433174744,Stand
[21 10  1],0.9243456310985568,-0.015996981656173574,Stand
[21 11  1],0.7094302795929097,-0.0688860615318165,Stand
