State,Action 0 (Stand),Action 1 (Hit),Action 2 (Double),Best Action
"(13, 8, 0)",-0.40601502790503896,-0.3170764447673239,-0.5357209684356355,Hit
"(13, 9, 0)",-0.5746004138618255,-0.3764822982662823,-0.7892819333930894,Hit
"(13, 10, 0)",-0.5548962849824186,-0.43049437464028606,-0.977086220493822,Hit
"(13, 11, 0)",-0.5743625839510746,-0.40875520939958776,-0.8627676987639841,Hit
"(14, 2, 0)",-0.26957477707749467,-0.3988911263121203,-0.6405534242648023,Stand
"(14, 3, 0)",-0.25382599558418245,-0.32518427578936415,-0.6019047729625646,Stand
"(14, 4, 0)",-0.2048546964907098,-0.3495449401903822,-0.6139262481247616,Stand
"(14, 5, 0)",-0.1606489256611482,-0.43792988366777974,-0.7663970444644688,Stand
"(14, 6, 0)",-0.14736810347675228,-0.28061967620501405,-0.4406787215899873,Stand
"(14, 7, 0)",-0.49965918009873167,-0.32857759920442775,-0.8731551453784507,Hit
"(14, 8, 0)",-0.5684462583016467,-0.3634002952363189,-0.6113119121179601,Hit
"(14, 9, 0)",-0.5354647665295803,-0.42733369916408653,-0.9017846448933173,Hit
"(14, 10, 0)",-0.5983738367158312,-0.47534566294386704,-0.8675413694888017,Hit
"(14, 11, 0)",-0.5281584495212872,-0.4436094645118981,-0.7504989933727357,Hit
"(15, 2, 0)",-0.2921755946334851,-0.41380205059594594,-0.8364966456412495,Stand
"(15, 3, 0)",-0.25005453484956736,-0.4924637179434487,-0.9313390948888118,Stand
"(15, 4, 0)",-0.21484977831803792,-0.46551057258338324,-0.7294128180294903,Stand
"(15, 5, 0)",-0.1806180191906983,-0.37422157371833836,-0.7947344052934782,Stand
"(15, 6, 0)",-0.17590499538556303,-0.35308952244808317,-0.7340375363756313,Stand
"(15, 7, 0)",-0.5775587386044176,-0.37747261042511127,-0.7354705755185358,Hit
"(15, 8, 0)",-0.5114958336134319,-0.42281779945575215,-1.0417198269112669,Hit
"(15, 9, 0)",-0.714496535873391,-0.46407440957781215,-1.0654219368382372,Hit
"(15, 10, 0)",-0.6116673770420418,-0.512629423840156,-0.917411731178457,Hit
"(15, 11, 0)",-0.6590645011249658,-0.49394279937503227,-1.0337948981630343,Hit
"(16, 2, 0)",-0.2927529771435645,-0.5355675565654802,-1.1187150705375963,Stand
"(16, 3, 0)",-0.26414015621752795,-0.4537477144574459,-0.7047712505805642,Stand
"(16, 4, 0)",-0.21393873670673202,-0.5745991064534286,-1.093294058624619,Stand
"(16, 5, 0)",-0.14874043857680036,-0.44275100767650144,-0.7331454895835532,Stand
"(16, 6, 0)",-0.15265869287955874,-0.4018526829640017,-0.7806509302179012,Stand
"(16, 7, 0)",-0.6229360775123376,-0.426571479364245,-0.8769249535788299,Hit
"(16, 8, 0)",-0.603174850834723,-0.45748316786952525,-0.7147809430989696,Hit
"(16, 9, 0)",-0.5455161675097713,-0.6137508432586418,-1.106795913226808,Stand
"(16, 10, 0)",-0.5411944869724016,-0.5973458170803072,-1.0428115295816185,Stand
"(16, 11, 0)",-0.6798432020703161,-0.5180114659977593,-1.237983385015553,Hit
"(17, 2, 0)",-0.1663334563446508,-0.5724412239763268,-1.1467943278551282,Stand
"(17, 3, 0)",-0.10563052669411216,-0.523440819442008,-1.0615093410102534,Stand
"(17, 4, 0)",-0.07031983173034587,-0.5796156425531862,-0.8548240777257181,Stand
"(17, 5, 0)",-0.020830498578349885,-0.569461345869513,-0.8065882750906151,Stand
"(17, 6, 0)",0.017153780778301077,-0.5230811183170381,-1.0072525805201331,Stand
"(17, 7, 0)",-0.12042340524414442,-0.4950413264443725,-0.9362396297575968,Stand
"(17, 8, 0)",-0.3725475607287013,-0.5072172812749929,-1.0711716757132488,Stand
"(17, 9, 0)",-0.4209008094284713,-0.6914558775118702,-1.1213896469496734,Stand
"(17, 10, 0)",-0.4056972856925407,-0.6211827517745308,-1.2659907013956404,Stand
"(17, 11, 0)",-0.4689077456268955,-0.7007240954299501,-0.9926534239167634,Stand
"(18, 2, 0)",0.12605936823322197,-0.6047758424623366,-1.4699284652863696,Stand
"(18, 3, 0)",0.14400272363673705,-0.6241338518249807,-0.9817968927821858,Stand
"(18, 4, 0)",0.21325860005183062,-0.4437976940592371,-1.0913548122799073,Stand
"(18, 5, 0)",0.18911150559133194,-0.5716256679298592,-0.9714373778689767,Stand
"(18, 6, 0)",0.2832880793242927,-0.6024881228558241,-1.06727823075411,Stand
"(18, 7, 0)",0.38603481446473475,-0.4661417528903464,-1.4234495253421398,Stand
"(18, 8, 0)",0.11757269722532422,-0.5486303778505466,-1.2459509008638792,Stand
"(18, 9, 0)",-0.17692173076657303,-0.5907651911824668,-1.264675873549077,Stand
"(18, 10, 0)",-0.16939497688104377,-0.578755676161946,-1.3681758815003904,Stand
"(18, 11, 0)",-0.08476533487620841,-0.7049091379616154,-1.121275808342137,Stand
"(19, 2, 0)",0.3592247265677396,-0.755780681919684,-1.6486975466389313,Stand
"(19, 3, 0)",0.4249832811871484,-0.7032267258300938,-1.3714807906045419,Stand
"(19, 4, 0)",0.40829344431974857,-0.6668389966693443,-1.4899993633598916,Stand
"(19, 5, 0)",0.44792895545185796,-0.5841115559277179,-1.3158379583810813,Stand
"(19, 6, 0)",0.4883864989500617,-0.5518792917065688,-1.1925986024627155,Stand
"(19, 7, 0)",0.6186223509569091,-0.5771661428777628,-1.5547495878482112,Stand
"(19, 8, 0)",0.5878231967750489,-0.7673332296852908,-1.3751732083711596,Stand
"(19, 9, 0)",0.28275240594865714,-0.6525189067969943,-1.3994535803155292,Stand
"(19, 10, 0)",0.06503713436083927,-0.7347167014882803,-1.5851054912570588,Stand
"(19, 11, 0)",0.27553896759591007,-0.7073470392385488,-1.191108203582867,Stand
"(20, 2, 0)",0.6480350985656111,-0.8163184107457944,-1.6539763753837642,Stand
"(20, 3, 0)",0.6564068154191669,-0.8663663934644703,-1.6773455695612256,Stand
"(20, 4, 0)",0.6536710018494822,-0.8351179140830289,-1.7465627228141731,Stand
"(20, 5, 0)",0.6676504990833536,-0.7684660768588314,-1.65631483429451,Stand
"(20, 6, 0)",0.7080188661405903,-0.890945918332123,-1.5272552582370806,Stand
"(20, 7, 0)",0.765304737684011,-0.8887148051773933,-1.5843554910888344,Stand
"(20, 8, 0)",0.7861782220922138,-0.8226553780342274,-1.62061214339316,Stand
"(20, 9, 0)",0.76611779854401,-0.7976071466625303,-1.6463101144373966,Stand
"(20, 10, 0)",0.5503269642875157,-0.8561748667523836,-1.7510746383661748,Stand
"(20, 11, 0)",0.6540422550689564,-0.7548197716672853,-1.5815530573570173,Stand
"(21, 2, 0)",0.887859367520734,-0.7123328290089285,-1.3006379637252596,Stand
