State,Action 0 (Stand),Action 1 (Hit),Best Action
"(16, 4, 0)",-0.1899822096840174,-0.5150740972432015,Stand
"(16, 5, 0)",-0.1785731486829315,-0.40588195825718215,Stand
"(16, 6, 0)",-0.13720959525672838,-0.4435289207905179,Stand
"(16, 7, 0)",-0.4731068266270365,-0.45905265024220987,Hit
"(16, 8, 0)",-0.5361907794451707,-0.473772457479828,Hit
"(16, 9, 0)",-0.5749640675849198,-0.5108603905185924,Hit
"(16, 10, 0)",-0.6268232902546287,-0.5414058705852318,Hit
"(16, 11, 0)",-0.5681492704710447,-0.5332850297011118,Hit
"(17, 2, 0)",-0.148764100114202,-0.5191050899937217,Stand
"(17, 3, 0)",-0.13358694805723947,-0.4414590625261344,Stand
"(17, 4, 0)",-0.07932185859292887,-0.47871373312580306,Stand
"(17, 5, 0)",-0.03003968783501843,-0.5079398393606243,Stand
"(17, 6, 0)",-0.0026434157742686397,-0.4198711738567958,Stand
"(17, 7, 0)",-0.11978493313000382,-0.4022114048067407,Stand
"(17, 8, 0)",-0.38148113874418227,-0.49760937356229806,Stand
"(17, 9, 0)",-0.41766221885065674,-0.5663127315580075,Stand
"(17, 10, 0)",-0.41677425104817184,-0.5699446250338043,Stand
"(17, 11, 0)",-0.4821410250676131,-0.7167136092602762,Stand
"(18, 2, 0)",0.11844904118596802,-0.5865247164997514,Stand
"(18, 3, 0)",0.1462983982587405,-0.6440632049777064,Stand
"(18, 4, 0)",0.17917171434169954,-0.43347435162410164,Stand
"(18, 5, 0)",0.21268026414360286,-0.4653047263735114,Stand
"(18, 6, 0)",0.2905210571580217,-0.4485532971782757,Stand
"(18, 7, 0)",0.39524343455139355,-0.5293482654856387,Stand
"(18, 8, 0)",0.09766369188990212,-0.486312063026223,Stand
"(18, 9, 0)",-0.20525633436875734,-0.656008576219727,Stand
"(18, 10, 0)",-0.17695436626700506,-0.6311156424040008,Stand
"(18, 11, 0)",-0.11739163643582569,-0.5846963810155702,Stand
"(19, 2, 0)",0.38609569639307206,-0.6514538041469004,Stand
"(19, 3, 0)",0.4184725046074792,-0.6309843802932176,Stand
"(19, 4, 0)",0.42147005387981185,-0.656438937693726,Stand
"(19, 5, 0)",0.4272198350061712,-0.5746766401010655,Stand
"(19, 6, 0)",0.5117441502080156,-0.5456897141137725,Stand
"(19, 7, 0)",0.6116552266995893,-0.5946915030429147,Stand
"(19, 8, 0)",0.5978969650761463,-0.6408895201768656,Stand
"(19, 9, 0)",0.27903734401726266,-0.5678805776382554,Stand
"(19, 10, 0)",0.06691767560090102,-0.8034431487959742,Stand
"(19, 11, 0)",0.2873897950722694,-0.647643820724312,Stand
"(20, 2, 0)",0.6451258768920758,-0.799934002757665,Stand
"(20, 3, 0)",0.6415127706157988,-0.8293950000696519,Stand
"(20, 4, 0)",0.6459612345897436,-0.8727602024989779,Stand
"(20, 5, 0)",0.6881270684428231,-0.8526618235911336,Stand
"(20, 6, 0)",0.7033760771933419,-0.8943042248005462,Stand
"(20, 7, 0)",0.7747434398063757,-0.8051038089621991,Stand
"(20, 8, 0)",0.7813865686852635,-0.892898311089316,Stand
"(20, 9, 0)",0.7556790497076338,-0.8651338273146392,Stand
"(20, 10, 0)",0.5568298768214266,-0.8661267935580692,Stand
"(20, 11, 0)",0.6610297432299097,-0.8068468474165732,Stand
"(21, 2, 0)",0.8785950293988632,-0.6835108050344765,Stand
"(21, 3, 0)",0.8709536833747085,-0.6626372192927974,Stand
"(21, 4, 0)",0.8659045103469212,-0.7021732530021665,Stand
"(21, 5, 0)",0.8924707540892058,-0.6947947185907879,Stand
"(21, 6, 0)",0.8923516002170502,-0.6897644695451699,Stand
"(21, 7, 0)",0.9280259442892838,-0.7208523298026966,Stand
"(21, 8, 0)",0.926964064048311,-0.7650460035855426,Stand
"(21, 9, 0)",0.9323252503459076,-0.7147609365789138,Stand
"(21, 10, 0)",0.9624643919280943,-0.9850229345542043,Stand
"(21, 11, 0)",0.918749829448448,-0.6843977347948136,Stand
"(12, 2, 1)",-0.021329283827649575,-0.005672008179431377,Hit
"(12, 3, 1)",-0.017050857525559203,0.01481122191893142,Hit
